begin_datetime_mpt,pool_price,pool_price,pool_price
,min,max,mean
2023-12-01,30.13,92.45,53.07041666666667
2023-12-02,30.84,381.49,75.28416666666666
2023-12-03,34.12,220.03,72.61208333333333
2023-12-04,19.44,143.14,65.845
2023-12-05,33.44,55.66,48.32791666666666
2023-12-06,31.26,265.07,97.4425
2023-12-07,39.42,314.24,112.80416666666667
2023-12-08,46.86,355.99,124.71583333333332
2023-12-09,30.82,58.24,40.567083333333336
2023-12-10,20.19,42.68,33.629583333333336
2023-12-11,28.61,91.55,49.087916666666665
2023-12-12,14.04,209.84,47.57375
2023-12-13,0.95,37.48,23.444999999999997
2023-12-14,0.0,584.78,155.17125000000001
2023-12-15,13.26,93.47,42.54125
2023-12-16,0.0,105.36,43.73166666666666
2023-12-17,0.0,123.02,39.36166666666667
2023-12-18,17.11,221.15,60.43541666666667
2023-12-19,20.16,72.14,41.17583333333334
2023-12-20,13.34,58.85,30.000833333333333
2023-12-21,0.0,212.93,36.21208333333333
2023-12-22,4.03,23.16,15.092500000000001
2023-12-23,0.0,117.99,35.48083333333333
2023-12-24,16.96,132.42,46.890833333333326
2023-12-25,12.92,32.14,21.68875
2023-12-26,0.0,30.56,11.894166666666665
2023-12-27,19.5,117.56,44.5075
2023-12-28,9.03,30.19,21.344166666666666
2023-12-29,26.6,364.1,66.30708333333332
2023-12-30,14.67,39.01,27.06625
2023-12-31,20.22,42.66,30.1425
2024-01-01,22.67,51.25,34.67875
2024-01-02,34.87,376.28,84.83
2024-01-03,32.48,176.24,63.80291666666667
2024-01-04,26.87,60.75,40.75416666666667
2024-01-05,28.7,257.92,66.05125
2024-01-06,34.06,332.26,88.86125
2024-01-07,59.33,822.99,171.6975
2024-01-08,36.02,123.6,75.53208333333333
2024-01-09,31.54,48.62,39.25833333333333
2024-01-10,40.04,468.92,116.03500000000001
2024-01-11,60.91,667.3,233.08624999999998
2024-01-12,189.57,999.99,676.725
2024-01-13,240.63,999.99,646.6791666666667
2024-01-14,162.3,999.99,707.1233333333333
2024-01-15,41.97,999.99,361.605
2024-01-16,40.05,427.32,110.44749999999999
2024-01-17,53.56,479.72,204.57666666666668
2024-01-18,45.54,228.53,105.94791666666667
2024-01-19,53.29,232.06,98.98666666666666
2024-01-20,53.49,581.15,148.7725
2024-01-21,61.36,266.6,118.735
2024-01-22,55.51,329.05,136.59791666666666
2024-01-23,36.93,81.77,53.57375
2024-01-24,29.86,111.09,53.5725
2024-01-25,30.99,76.38,41.41458333333333
2024-01-26,26.36,227.29,52.85041666666667
2024-01-27,18.38,130.84,44.45791666666667
2024-01-28,15.57,113.96,37.93125
2024-01-29,27.98,102.22,43.41583333333333
2024-01-30,21.4,53.36,29.175
2024-01-31,26.32,93.0,48.91916666666666
2024-02-01,35.67,91.84,50.711666666666666
